event_id,league,start_time_local,home_team,away_team,bookmaker,market,outcome,price_decimal,model_prob,market_prob_devig,edge_pct,ev,kelly_stake
marseille_le havre_20251018,soccer_france_ligue_one,2025-10-18 15:05,marseille,le havre,onexbet,moneyline,away,9.70,0.3400,0.1016,234.67,2.2980,1320.69
marseille_le havre_20251018,soccer_france_ligue_one,2025-10-18 15:05,marseille,le havre,onexbet,moneyline,away,9.70,0.3400,0.1016,234.67,2.2980,1320.69
napoli_genoa_20251005,soccer_italy_serie_a,2025-10-05 12:00,napoli,genoa,betfair_ex_uk,match_winner,away,9.80,0.3353,0.1019,229.02,2.2861,1298.91
marseille_le havre_20251018,soccer_france_ligue_one,2025-10-18 15:05,marseille,le havre,onexbet,match_winner,away,9.70,0.3353,0.1016,230.05,2.2525,1294.57
liverpool_man_20251019,soccer_epl,2025-10-19 11:30,liverpool,man,betfair_ex_eu,match_winner,away,7.20,0.4481,0.1387,223.09,2.2263,1795.37
barcelona_girona_20251018,soccer_spain_la_liga,2025-10-18 10:15,barcelona,girona,tipico_de,match_winner,draw,10.50,0.2804,0.0899,211.89,1.9437,1023.01
man_everton_20251018,soccer_epl,2025-10-18 10:00,man,everton,betfair_ex_eu,moneyline,away,8.40,0.3400,0.1175,189.25,1.8560,1254.05
man_everton_20251018,soccer_epl,2025-10-18 10:00,man,everton,betfair_ex_eu,moneyline,away,8.40,0.3400,0.1175,189.25,1.8560,1254.05
eintracht frankfurt_bayern munich_20251004,soccer_germany_bundesliga,2025-10-04 12:30,eintracht frankfurt,bayern munich,smarkets,match_winner,home,7.40,0.3843,0.1336,187.75,1.8441,1440.67
man_everton_20251018,soccer_epl,2025-10-18 10:00,man,everton,betfair_ex_eu,match_winner,away,8.40,0.3353,0.1175,185.26,1.8166,1227.46
atlético madrid_ca osasuna_20251018,soccer_spain_la_liga,2025-10-18 15:00,atlético madrid,ca osasuna,onexbet,moneyline,away,8.25,0.3400,0.1193,185.04,1.8050,1244.83
atlético madrid_ca osasuna_20251018,soccer_spain_la_liga,2025-10-18 15:00,atlético madrid,ca osasuna,onexbet,moneyline,away,8.25,0.3400,0.1193,185.04,1.8050,1244.83
atlético madrid_ca osasuna_20251018,soccer_spain_la_liga,2025-10-18 15:00,atlético madrid,ca osasuna,onexbet,match_winner,away,8.25,0.3353,0.1193,181.11,1.7663,1218.17
barcelona_olympiakos piraeus_20251021,soccer_uefa_champs_league,2025-10-21 12:45,barcelona,olympiakos piraeus,betfair_ex_uk,moneyline,draw,8.20,0.3300,0.1185,178.54,1.7060,1184.72
barcelona_olympiakos piraeus_20251021,soccer_uefa_champs_league,2025-10-21 12:45,barcelona,olympiakos piraeus,betfair_ex_uk,moneyline,draw,8.20,0.3300,0.1185,178.54,1.7060,1184.72
getafe_real madrid_20251019,soccer_spain_la_liga,2025-10-19 15:00,getafe,real madrid,leovegas,match_winner,home,7.00,0.3843,0.1328,189.32,1.6903,1408.60
metz_marseille_20251004,soccer_france_ligue_one,2025-10-04 11:00,metz,marseille,betfair_ex_eu,match_winner,home,7.00,0.3843,0.1416,171.51,1.6903,1408.60
vfb stuttgart_1 heidenheim_20251005,soccer_germany_bundesliga,2025-10-05 09:30,vfb stuttgart,1 heidenheim,betfair_ex_uk,moneyline,away,7.80,0.3400,0.1280,165.68,1.6520,1214.71
vfb stuttgart_1 heidenheim_20251005,soccer_germany_bundesliga,2025-10-05 09:30,vfb stuttgart,1 heidenheim,betfair_ex_uk,moneyline,away,7.80,0.3400,0.1280,165.68,1.6520,1214.71
fulham_arsenal_20251018,soccer_epl,2025-10-18 12:30,fulham,arsenal,fanduel,match_winner,home,5.40,0.4889,0.1778,174.89,1.6400,1863.66
vfb stuttgart_1 heidenheim_20251005,soccer_germany_bundesliga,2025-10-05 09:30,vfb stuttgart,1 heidenheim,betfair_ex_uk,match_winner,away,7.80,0.3353,0.1280,162.02,1.6155,1187.83
bayern munich_borussia dortmund_20251018,soccer_germany_bundesliga,2025-10-18 12:30,bayern munich,borussia dortmund,unibet_nl,moneyline,away,7.50,0.3400,0.1288,164.00,1.5500,1192.31
bayern munich_borussia dortmund_20251018,soccer_germany_bundesliga,2025-10-18 12:30,bayern munich,borussia dortmund,unibet_nl,moneyline,away,7.50,0.3400,0.1288,164.00,1.5500,1192.31
bayern munich_borussia dortmund_20251018,soccer_germany_bundesliga,2025-10-18 12:30,bayern munich,borussia dortmund,unibet_nl,match_winner,away,7.50,0.3353,0.1288,160.36,1.5149,1165.27
inter milan_cremonese_20251004,soccer_italy_serie_a,2025-10-04 12:00,inter milan,cremonese,betfair_ex_eu,moneyline,draw,7.60,0.3300,0.1307,152.51,1.5080,1142.42
inter milan_cremonese_20251004,soccer_italy_serie_a,2025-10-04 12:00,inter milan,cremonese,betfair_ex_eu,moneyline,draw,7.60,0.3300,0.1307,152.51,1.5080,1142.42
arsenal_atlético madrid_20251021,soccer_uefa_champs_league,2025-10-21 15:00,arsenal,atlético madrid,fanduel,match_winner,away,6.50,0.3831,0.1472,160.17,1.4900,1354.51
angers_as monaco_20251018,soccer_france_ligue_one,2025-10-18 13:00,angers,as monaco,unibet_it,match_winner,home,6.40,0.3843,0.1489,158.10,1.4597,1351.59
liverpool_man_20251019,soccer_epl,2025-10-19 11:30,liverpool,man,betfair_ex_eu,moneyline,away,7.20,0.3400,0.1387,145.15,1.4480,1167.74
liverpool_man_20251019,soccer_epl,2025-10-19 11:30,liverpool,man,betfair_ex_eu,moneyline,away,7.20,0.3400,0.1387,145.15,1.4480,1167.74
eintracht frankfurt_bayern munich_20251004,soccer_germany_bundesliga,2025-10-04 12:30,eintracht frankfurt,bayern munich,smarkets,moneyline,home,7.40,0.3300,0.1336,147.08,1.4420,1126.56
eintracht frankfurt_bayern munich_20251004,soccer_germany_bundesliga,2025-10-04 12:30,eintracht frankfurt,bayern munich,smarkets,moneyline,home,7.40,0.3300,0.1336,147.08,1.4420,1126.56
arsenal_west ham_20251004,soccer_epl,2025-10-04 10:00,arsenal,west ham,betfair_ex_uk,moneyline,draw,7.40,0.3300,0.1344,145.49,1.4420,1126.56
arsenal_west ham_20251004,soccer_epl,2025-10-04 10:00,arsenal,west ham,betfair_ex_uk,moneyline,draw,7.40,0.3300,0.1344,145.49,1.4420,1126.56
real madrid_villarreal_20251004,soccer_spain_la_liga,2025-10-04 15:00,real madrid,villarreal,matchbook,moneyline,away,7.00,0.3400,0.1418,139.72,1.3800,1150.00
real madrid_villarreal_20251004,soccer_spain_la_liga,2025-10-04 15:00,real madrid,villarreal,matchbook,moneyline,away,7.00,0.3400,0.1418,139.72,1.3800,1150.00
athletic bilbao_mallorca_20251004,soccer_spain_la_liga,2025-10-04 12:30,athletic bilbao,mallorca,matchbook,moneyline,away,7.00,0.3400,0.1427,138.30,1.3800,1150.00
athletic bilbao_mallorca_20251004,soccer_spain_la_liga,2025-10-04 12:30,athletic bilbao,mallorca,matchbook,moneyline,away,7.00,0.3400,0.1427,138.30,1.3800,1150.00
real madrid_villarreal_20251004,soccer_spain_la_liga,2025-10-04 15:00,real madrid,villarreal,matchbook,match_winner,away,7.00,0.3353,0.1418,136.41,1.3472,1122.67
athletic bilbao_mallorca_20251004,soccer_spain_la_liga,2025-10-04 12:30,athletic bilbao,mallorca,matchbook,match_winner,away,7.00,0.3353,0.1427,135.01,1.3472,1122.67
getafe_real madrid_20251019,soccer_spain_la_liga,2025-10-19 15:00,getafe,real madrid,leovegas,moneyline,home,7.00,0.3300,0.1328,148.42,1.3100,1091.67
getafe_real madrid_20251019,soccer_spain_la_liga,2025-10-19 15:00,getafe,real madrid,leovegas,moneyline,home,7.00,0.3300,0.1328,148.42,1.3100,1091.67
bayern munich_club brugge_20251022,soccer_uefa_champs_league,2025-10-22 15:00,bayern munich,club brugge,unibet_nl,moneyline,draw,7.00,0.3300,0.1385,138.33,1.3100,1091.67
bayern munich_club brugge_20251022,soccer_uefa_champs_league,2025-10-22 15:00,bayern munich,club brugge,unibet_nl,moneyline,draw,7.00,0.3300,0.1385,138.33,1.3100,1091.67
metz_marseille_20251004,soccer_france_ligue_one,2025-10-04 11:00,metz,marseille,betfair_ex_eu,moneyline,home,7.00,0.3300,0.1416,133.13,1.3100,1091.67
metz_marseille_20251004,soccer_france_ligue_one,2025-10-04 11:00,metz,marseille,betfair_ex_eu,moneyline,home,7.00,0.3300,0.1416,133.13,1.3100,1091.67
barcelona_olympiakos piraeus_20251021,soccer_uefa_champs_league,2025-10-21 12:45,barcelona,olympiakos piraeus,betfair_ex_uk,match_winner,draw,8.20,0.2804,0.1185,136.64,1.2989,902.02
atalanta bc_slavia praha_20251022,soccer_uefa_champs_league,2025-10-22 15:00,atalanta bc,slavia praha,coolbet,moneyline,away,6.60,0.3400,0.1466,131.99,1.2440,1110.71
atalanta bc_slavia praha_20251022,soccer_uefa_champs_league,2025-10-22 15:00,atalanta bc,slavia praha,coolbet,moneyline,away,6.60,0.3400,0.1466,131.99,1.2440,1110.71
